gt_x_m	gt_y_m	pred_x_m	pred_y_m	true_area
28.237606	32.758026	28.570948	34.086216	E
28.395058	31.260952	27.927328	32.39051	E
27.71547	36.959545	27.791908	37.649693	E
27.992586	38.46906	28.189737	38.8692	E
28.10159	38.20107	28.357828	39.01778	E
28.31717	30.652042	27.86235	31.832355	E
27.522358	38.2325	27.65822	38.483643	E
27.923347	35.56195	27.823576	35.077396	E
27.676535	39.601192	27.159252	39.652042	E
28.128193	33.582195	28.039507	33.74531	E
27.550297	38.026356	27.585768	37.941387	E
28.3195	31.023697	27.797863	32.338	E
28.331974	30.528812	27.973822	31.69231	E
28.494394	36.846214	27.931412	37.924824	E
28.643892	35.404747	28.354826	35.887707	E
27.247232	39.430706	27.414513	41.618015	E
28.318874	31.137032	28.078194	31.943348	E
28.335001	30.255833	28.319933	31.300217	E
27.713903	39.438942	27.448938	39.536137	E
28.335001	30.25	28.441292	31.534588	E
28.495527	34.004467	27.310144	34.03714	E
28.50535	31.529697	28.31635	31.950977	E
28.279507	33.295757	27.551432	32.873405	E
28.358446	33.702477	27.899511	33.373665	E
28.031631	34.491795	28.134912	34.86327	E
27.791252	39.115818	26.812485	38.266613	E
28.334866	30.343876	28.222157	31.347366	E
27.473639	40.097538	27.530928	40.198536	E
28.307419	30.941368	28.433672	33.312943	E
28.144302	33.41616	28.06909	33.350266	E
28.368694	37.371845	27.899893	37.692368	E
27.323656	39.081364	27.458588	39.18196	E
27.777538	36.59043	28.264732	37.071102	E
28.322971	30.610954	28.028767	32.039406	E
27.544827	38.06749	27.633148	37.937336	E
27.902708	38.75898	27.88708	37.52986	E
27.431314	38.637264	27.428484	38.70094	E
28.207167	32.71248	28.029158	32.672924	E
28.13632	33.49922	28.105856	33.529694	E
27.498919	40.04347	27.622648	38.849113	E
28.576923	34.326412	28.206884	34.86651	E
28.309326	37.614502	27.92166	38.143852	E
